Sample,Depth,ROV,Phosphate,Ammonium,Sulfide,Sulphate,Methane,DIC,¦Ä15N,¦Ä13C,%ON,%OC,DOM_t,DOM_a,DOM_m,DOM_c,DOM_b,DOM_SR,DOM_BIX,DOM_FI,DOM_HIX,DNA_18S_Whole_Richness,RNA_18S_Whole_Richness,DNA_Breviatea_Richness,RNA_Breviatea_Richness,DNA_Laby_Richness,RNA_Laby_Richness,DNA_Apicomplexa_Richness,RNA_Apicomplexa_Richness,DNA_16s_Whole_Richness,RNA_16s_Whole_Richness,DNA_ANME1_Richness,RNA_ANME1_Richness,DNA_Methano_Richness,RNA_Methano_Richness,DNA_Gamma_Richness,RNA_Gamma_Richness
D519ROV3LPC1_0,0,ROV3,0.3008,29.94,149.882,2336.8,10204.16,4.05,4.6,-21.9,0.15,0.97,0.455871158,1.11266765,0.708254291,0.545324859,0.526870664,2.576120467,1.020144788,1.308546391,0.680162252,152,284,0,8,2,8,36,13,1726,2570,2,0,0,3,274,351
D519ROV3LPC1_5,5,ROV3,0.267333333,27.28333333,213.8783333,2332.666667,12752.18333,3.13,4,-21.7,0.15,0.98,0.47194165,1.258498618,0.771795666,0.619255976,0.453987313,2.408336801,0.9538247,1.324607003,0.730639408,139,248,0,4,2,10,25,9,2029,2741,2,2,2,4,293,379
D519ROV3LPC1_10,10,ROV3,0.3235,27.18333333,73.38833333,2304,11947.55,2.945,4.2,-22.2,0.14,0.99,0.410513968,1.403836841,0.815339306,0.685229908,0.428133583,2.338412463,0.933728013,1.259990607,0.759549618,177,169,2,6,7,4,6,0,1666,2210,2,1,2,7,221,278
D518ROV4PC201_0,0,ROV4,NA,NA,NA,NA,NA,NA,5,-20.7,0.14,0.85,0.385931541,0.962385333,0.511159149,0.37790133,0.417533016,3.591997654,0.804077433,1.428635879,0.659468153,57,240,0,2,0,7,6,3,752,2646,1,1,0,6,136,360
D518ROV4PC201_5,5,ROV4,NA,NA,NA,NA,NA,NA,5.1,-20.5,0.13,0.86,0.4693746,1.106576114,0.564434646,0.440468342,0.546707766,2.267144282,0.875319812,1.364497472,0.665379474,93,170,0,2,2,6,10,2,1061,2927,2,3,0,11,155,313
D518ROV4PC201_10,10,ROV4,NA,NA,NA,NA,NA,NA,4.9,-21,0.13,0.84,0.343221854,0.928427142,0.493908117,0.390194079,0.509411618,2.31548782,0.906233202,1.311990766,0.651636226,33,218,0,1,0,5,1,5,610,2603,1,5,0,7,114,303
D515ROV4BC3_0,0,ROV4,NA,NA,NA,NA,NA,NA,5.4,-21.2,0.15,0.98,0.650880953,1.490054137,0.804014912,0.576962623,0.604432013,2.184973918,0.865203901,1.44100927,0.690096911,406,417,0,3,1,14,18,2,1753,2478,1,2,3,5,282,368
D515ROV4BC3_5,5,ROV4,NA,NA,NA,NA,NA,NA,5.4,-22,0.14,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,95,0,0,0,1,0,0,1034,2883,3,6,2,8,141,237
D515ROV4BC3_10,10,ROV4,NA,NA,NA,NA,NA,NA,4.9,-20.8,0.14,0.88,0.814562394,1.362500838,0.753574239,0.564122655,0.992316788,1.895879422,1.067430215,1.32184252,0.604903889,134,NA,2,NA,0,NA,6,NA,912,2378,2,4,1,6,129,268
D517ROV5LPC_5,5,ROV5,0.398,24.35,0.045,2628.5,2169.55,3.64,5.1,-20.7,0.15,0.93,0.338283919,1.099050371,0.564332803,0.463737182,0.377247748,2.501694878,0.790116039,1.323177321,0.729861708,131,276,0,3,1,13,5,0,1012,2593,3,0,1,2,180,382
D517ROV5LPC_10,10,ROV5,0.3945,25.9,0.04,2577,2164.4,3.63,4.1,-20.9,0.14,0.84,0.392581259,1.263440443,0.719639662,0.575208121,0.531097189,2.385640481,0.885214962,1.278288482,0.708411886,57,216,0,4,0,9,0,0,670,2867,2,1,0,6,133,342
D515ROV4BC4_0,0,ROV4,NA,NA,NA,NA,NA,NA,4.9,-20.8,0.12,0.79,0.586947027,1.314154224,0.726092742,0.454618442,0.455231459,2.688436585,0.846726297,1.323039757,0.696804308,151,174,0,1,1,4,2,0,2019,2647,2,0,2,0,332,266
D515ROV4BC4_5,5,ROV4,NA,NA,NA,NA,NA,NA,4.7,-20.6,0.14,0.86,0.452208705,1.10127707,0.554416806,0.417901834,0.490657673,2.349327502,0.889182436,1.351430584,0.67453153,69,77,0,0,0,0,2,0,1088,3051,2,0,3,0,192,214
D515ROV4BC4_10,10,ROV4,NA,NA,NA,NA,NA,NA,4.8,-20.7,0.13,0.85,0.395059962,0.896633875,0.475892077,0.383107947,0.634277551,2.558408218,0.848053968,1.26322079,0.591662896,46,55,0,1,0,0,1,0,1475,2288,3,0,2,0,174,124
D517ROV5PC201_0,0,ROV5,0.2065,28.25,0.055,2619.5,2168.3,3.61,5.2,-20.8,0.14,0.85,0.526598608,1.24409667,0.65684345,0.474129274,0.474354154,3.237711383,0.843247275,1.393867039,0.706333564,75,230,0,0,0,4,8,0,728,2477,0,0,0,0,141,272
D517ROV5PC201_5,5,ROV5,0.398,24.35,0.045,2628.5,2169.55,3.64,5,-20.9,0.14,0.86,0.598418727,1.043883205,0.580148998,0.42636878,0.702156439,2.437830063,0.894154277,1.333466459,0.610127604,91,82,1,0,0,1,4,0,1451,2369,1,0,0,0,218,211
D517ROV5PC201_10,10,ROV5,0.3945,25.9,0.04,2577,2164.4,3.63,4.6,-20.9,0.14,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,0,NA,2,NA,1,NA,1528,2534,1,0,1,0,152,165
